t_s,distanceRight_mm,distanceLeft_mm
0.408,0.0,0.0
0.419,0.0,0.0
0.428,0.0,0.0
0.438,0.0,0.0
0.448,0.0,0.0
0.458,0.0,0.0
0.47,0.0,0.0
0.478,0.0,0.0
0.489,0.0,0.0
0.498,0.0,0.0
0.508,0.0,0.0
0.522,0.0,0.0
0.528,0.0,0.0
0.538,0.0,0.0
0.548,0.0,0.0
0.558,0.0,0.0
0.568,0.0,0.0
0.578,0.0,0.0
0.589,0.0,0.0
0.598,0.0,0.0
0.608,0.0,0.0
0.619,0.0,0.0
0.628,0.0,0.0
0.639,0.0,0.0
0.649,0.0,0.0
0.659,0.0,0.0
0.668,0.0,0.0
0.679,0.0,0.0
0.688,0.0,0.0
0.699,0.0,0.0
0.708,0.0,0.0
0.719,0.0,0.0
0.728,0.0,0.0
0.738,0.0,0.0
0.748,0.0,0.0
0.758,0.0,0.0
0.768,0.0,0.0
0.778,0.0,0.0
0.789,0.0,0.0
0.798,0.0,0.0
0.809,0.0,0.0
0.819,0.0,0.0
0.829,0.0,0.0
0.839,0.0,0.0
0.849,0.0,0.0
0.859,0.0,0.0
0.868,0.0,0.0
0.878,0.0,0.0
0.889,0.0,0.0
0.899,0.0,0.0
0.909,0.0,0.0
0.918,0.0,0.0
0.928,0.0,0.0
0.938,0.0,0.0
0.948,0.0,0.0
0.959,0.0,0.0
0.968,0.0,0.0
0.979,0.0,0.0
0.989,0.0,0.0
0.998,0.0,0.0
1.009,0.0,0.0
1.019,0.0,0.0
1.028,0.0,0.0
1.039,0.0,0.0
1.049,0.0,0.0
1.059,0.0,0.0
1.069,0.0,0.0
1.079,0.0,0.0
1.088,0.0,0.0
1.098,0.0,0.0
1.108,0.0,0.0
1.119,0.0,0.0
1.129,0.0,0.0
1.139,0.0,0.0
1.149,0.0,0.0
1.159,0.0,0.0
1.169,0.0,0.0
1.179,0.0,0.0
1.189,0.0,0.0
1.199,0.0,0.0
1.209,0.0,0.0
1.218,0.0,0.0
1.228,0.0,0.0
1.239,0.0,0.0
1.249,0.0,0.0
1.258,0.0,0.0
1.269,0.0,0.0
1.278,0.0,0.0
1.289,0.0,0.0
1.299,0.0,0.0
1.309,0.0,0.0
1.319,0.0,0.0
1.329,0.0,0.0
1.339,0.0,0.0
1.348,0.0,0.0
1.359,0.0,0.0
1.369,0.0,0.0
1.379,0.0,0.0
1.388,0.0,0.0
1.399,0.0,0.0
1.409,0.0,0.0
1.419,0.0,0.0
1.428,0.0,0.0
1.438,0.0,0.0
1.449,0.0,0.0
1.459,0.0,0.0
1.469,0.0,0.0
1.479,0.0,0.0
1.489,0.0,0.0
1.498,0.0,0.0
1.509,0.0,0.0
1.519,0.0,0.0
1.529,0.0,0.0
1.539,0.0,0.0
1.548,0.0,0.0
1.559,0.0,0.0
1.569,0.0,0.0
1.578,0.0,0.0
1.589,0.0,0.0
1.599,0.0,0.0
1.609,0.0,0.0
1.618,0.0,0.0
1.629,0.0,0.0
1.639,0.0,0.0
1.648,0.0,0.0
1.659,0.0,0.0
1.669,0.0,0.0
1.678,0.0,0.0
1.689,0.0,0.0
1.698,0.0,0.0
1.709,0.0,0.0
1.719,0.0,0.0
1.728,0.0,0.0
1.739,0.0,0.0
1.749,0.0,0.0
1.76,0.0,0.0
1.769,0.0,0.0
1.779,0.0,0.0
1.788,0.0,0.0
1.798,0.0,0.0
1.809,0.0,0.0
1.818,0.0,0.0
